username,date,hms,post_num,num_likes
jcmeyer,"Jan 1, 2019",2:54 PM,9595209,
SplurgeFrugal,"Jan 1, 2019",3:44 PM,9595262,
SplurgeFrugal,"Jan 1, 2019",3:57 PM,9595279,12.0
thesartorialistbanker,"Jan 1, 2019",4:22 PM,9595301,7.0
dalevy,"Jan 1, 2019",4:24 PM,9595304,
dazedstate,"Jan 1, 2019",4:25 PM,9595305,
RickyTakhar,"Jan 1, 2019",4:39 PM,9595324,
smittycl,"Jan 1, 2019",5:16 PM,9595355,
Blake Stitched Blues,"Jan 1, 2019",8:39 PM,9595554,
jcmeyer,"Jan 1, 2019",11:00 PM,9595612,
Patrick R,"Jan 1, 2019",11:22 PM,9595616,
Michael81,"Jan 1, 2019",11:28 PM,9595619,32.0
upr_crust,"Jan 2, 2019",4:50 AM,9595712,13.0
smittycl,"Jan 2, 2019",6:17 AM,9595777,
Monaco Chris,"Jan 2, 2019",6:18 AM,9595779,12.0
Monaco Chris,"Jan 2, 2019",6:22 AM,9595783,28.0
Michael81,"Jan 2, 2019",7:46 AM,9595859,
smittycl,"Jan 2, 2019",7:53 AM,9595864,
feilhk,"Jan 2, 2019",7:56 AM,9595867,7.0
Betelgeuse,"Jan 2, 2019",8:03 AM,9595877,26.0
Roy Al,"Jan 2, 2019",8:42 AM,9595930,16.0
jcmeyer,"Jan 2, 2019",8:44 AM,9595935,
jcmeyer,"Jan 2, 2019",8:44 AM,9595937,
dazedstate,"Jan 2, 2019",9:07 AM,9595975,
jcmeyer,"Jan 2, 2019",10:39 AM,9596106,
smittycl,"Jan 2, 2019",10:53 AM,9596131,
Betelgeuse,"Jan 2, 2019",11:18 AM,9596157,
shirtsnob,"Jan 2, 2019",12:00 PM,9596246,
Betelgeuse,"Jan 2, 2019",12:06 PM,9596258,
AGlorifiedCrew,"Jan 2, 2019",12:49 PM,9596337,25.0
Henry Li,"Jan 2, 2019",3:02 PM,9596516,
shirtsnob,"Jan 2, 2019",3:08 PM,9596528,10.0
1st Step,"Jan 2, 2019",4:34 PM,9596630,
Clouseau,"Jan 3, 2019",2:17 AM,9597026,
upr_crust,"Jan 3, 2019",5:01 AM,9597077,22.0
coldsalmon,"Jan 3, 2019",5:14 AM,9597086,15.0
