username,date,hms,post_num,num_likes
ghdvfddzgzdzg,"Jan 1, 2019",7:14 PM,9595477,44.0
troika,"Jan 1, 2019",7:40 PM,9595508,
mmmargeologist,"Jan 1, 2019",8:55 PM,9595562,
itsPronouncedSteven,"Jan 2, 2019",12:53 AM,9595642,55.0
Rais,"Jan 2, 2019",2:58 AM,9595673,41.0
Monaco Chris,"Jan 2, 2019",3:08 AM,9595677,
Fuuma,"Jan 2, 2019",3:09 AM,9595678,60.0
Monaco Chris,"Jan 2, 2019",3:12 AM,9595679,
Alexidb,"Jan 2, 2019",4:37 AM,9595705,5.0
Seafinch,"Jan 2, 2019",8:01 AM,9595871,46.0
FrankCowperwood,"Jan 2, 2019",11:35 AM,9596195,45.0
jet,"Jan 2, 2019",11:41 AM,9596207,
FrankCowperwood,"Jan 2, 2019",11:48 AM,9596220,
troika,"Jan 2, 2019",11:55 AM,9596235,
hendrix,"Jan 2, 2019",12:50 PM,9596339,
ShoutOutsFoMyBo,"Jan 2, 2019",1:46 PM,9596425,34.0
RegisDB9,"Jan 2, 2019",1:49 PM,9596429,
FrankCowperwood,"Jan 2, 2019",2:08 PM,9596448,
cocostella,"Jan 2, 2019",2:47 PM,9596495,
FrankCowperwood,"Jan 2, 2019",5:46 PM,9596730,
RegisDB9,"Jan 2, 2019",7:13 PM,9596856,39.0
cocostella,"Jan 2, 2019",9:35 PM,9596945,
steveoffice,"Jan 2, 2019",10:19 PM,9596964,6.0
Slin,"Jan 3, 2019",5:05 AM,9597080,
Biggskip,"Jan 3, 2019",8:36 AM,9597273,
Seafinch,"Jan 3, 2019",8:43 AM,9597286,
cyc wid it,"Jan 3, 2019",10:51 AM,9597455,45.0
penanceroyaltea,"Jan 3, 2019",11:09 AM,9597480,
nicelynice,"Jan 3, 2019",5:17 PM,9598007,
TtownMD,"Jan 3, 2019",5:34 PM,9598039,
Benesyed,"Jan 3, 2019",7:04 PM,9598147,
jet,"Jan 3, 2019",7:22 PM,9598169,
